"Shop_Id";"Name";"ShopKpr_Id";"Location";"PrdSer";"License_Id"
"001";"Nescafe";"001";"Acad";"Cafe";"001"
"002";"Nescafe";"001";"Acad";"Cafe";"002"
"003";"Cycle";"003";"Hostel";"Cycle";"003"
"004";"FoodCourt";"002";"Library";"Food";"004"
"005";"Stationary";"004";"Quarters";"Stationary";"005"
"006";"Icecream";"005";"Hostel";"Icecream";"006"
"007";"Saloon";"006";"Hostel";"Hairstyle";"007"
"shop1";"shopname1";"skid88";"HostelArea";"Stationary";"lic1"
"shop10";"shopname10";"skid52";"Faculty Quarters";"Groceries";"lic10"
"shop100";"shopname100";"skid15";"HostelArea";"Groceries";"lic100"
"shop101";"shopname101";"skid82";"Faculty Quarters";"Stationary";"lic101"
"shop102";"shopname102";"skid42";"HostelArea";"Repair";"lic102"
"shop103";"shopname103";"skid17";"Faculty Quarters";"Repair";"lic103"
"shop104";"shopname104";"skid39";"Admin Block";"Snacks";"lic104"
"shop105";"shopname105";"skid61";"Faculty Quarters";"Groceries";"lic105"
"shop106";"shopname106";"skid88";"Sports Complex";"Groceries";"lic106"
"shop107";"shopname107";"skid55";"Admin Block";"Snacks";"lic107"
"shop108";"shopname108";"skid90";"Sports Complex";"Groceries";"lic108"
"shop109";"shopname109";"skid47";"Admin Block";"Repair";"lic109"
"shop11";"shopname11";"skid12";"Sports Complex";"Stationary";"lic11"
"shop110";"shopname110";"skid61";"Sports Complex";"Snacks";"lic110"
"shop111";"shopname111";"skid64";"Faculty Quarters";"Groceries";"lic111"
"shop112";"shopname112";"skid11";"HostelArea";"Groceries";"lic112"
"shop113";"shopname113";"skid74";"Admin Block";"Stationary";"lic113"
"shop114";"shopname114";"skid99";"HostelArea";"Groceries";"lic114"
"shop115";"shopname115";"skid65";"Faculty Quarters";"Snacks";"lic115"
"shop116";"shopname116";"skid46";"Admin Block";"Stationary";"lic116"
"shop117";"shopname117";"skid12";"Sports Complex";"Groceries";"lic117"
"shop118";"shopname118";"skid99";"Admin Block";"Repair";"lic118"
"shop119";"shopname119";"skid88";"Sports Complex";"Snacks";"lic119"
"shop12";"shopname12";"skid81";"Admin Block";"Snacks";"lic12"
"shop120";"shopname120";"skid20";"HostelArea";"Groceries";"lic120"
"shop121";"shopname121";"skid10";"Admin Block";"Groceries";"lic121"
"shop122";"shopname122";"skid74";"Admin Block";"Stationary";"lic122"
"shop123";"shopname123";"skid84";"Faculty Quarters";"Repair";"lic123"
"shop124";"shopname124";"skid96";"Admin Block";"Snacks";"lic124"
"shop125";"shopname125";"skid43";"Sports Complex";"Repair";"lic125"
"shop126";"shopname126";"skid66";"Sports Complex";"Snacks";"lic126"
"shop127";"shopname127";"skid67";"Faculty Quarters";"Repair";"lic127"
"shop128";"shopname128";"skid40";"Admin Block";"Stationary";"lic128"
"shop129";"shopname129";"skid67";"HostelArea";"Groceries";"lic129"
"shop13";"shopname13";"skid28";"Admin Block";"Snacks";"lic13"
"shop130";"shopname130";"skid65";"HostelArea";"Snacks";"lic130"
"shop131";"shopname131";"skid11";"Sports Complex";"Repair";"lic131"
"shop132";"shopname132";"skid5";"Admin Block";"Groceries";"lic132"
"shop133";"shopname133";"skid11";"Admin Block";"Repair";"lic133"
"shop134";"shopname134";"skid8";"Faculty Quarters";"Groceries";"lic134"
"shop135";"shopname135";"skid54";"Admin Block";"Repair";"lic135"
"shop136";"shopname136";"skid27";"Admin Block";"Snacks";"lic136"
"shop137";"shopname137";"skid17";"Faculty Quarters";"Snacks";"lic137"
"shop138";"shopname138";"skid80";"HostelArea";"Repair";"lic138"
"shop139";"shopname139";"skid22";"Faculty Quarters";"Groceries";"lic139"
"shop14";"shopname14";"skid97";"HostelArea";"Stationary";"lic14"
"shop140";"shopname140";"skid39";"HostelArea";"Snacks";"lic140"
"shop141";"shopname141";"skid77";"Admin Block";"Stationary";"lic141"
"shop142";"shopname142";"skid15";"HostelArea";"Stationary";"lic142"
"shop143";"shopname143";"skid85";"Faculty Quarters";"Snacks";"lic143"
"shop144";"shopname144";"skid93";"Admin Block";"Stationary";"lic144"
"shop145";"shopname145";"skid96";"Faculty Quarters";"Groceries";"lic145"
"shop146";"shopname146";"skid55";"Sports Complex";"Groceries";"lic146"
"shop147";"shopname147";"skid75";"Admin Block";"Repair";"lic147"
"shop148";"shopname148";"skid4";"Admin Block";"Snacks";"lic148"
"shop149";"shopname149";"skid67";"Admin Block";"Snacks";"lic149"
"shop15";"shopname15";"skid54";"Sports Complex";"Groceries";"lic15"
"shop150";"shopname150";"skid41";"Admin Block";"Groceries";"lic150"
"shop16";"shopname16";"skid53";"Faculty Quarters";"Stationary";"lic16"
"shop17";"shopname17";"skid43";"Admin Block";"Groceries";"lic17"
"shop18";"shopname18";"skid6";"HostelArea";"Snacks";"lic18"
"shop19";"shopname19";"skid91";"Faculty Quarters";"Groceries";"lic19"
"shop2";"shopname2";"skid3";"Faculty Quarters";"Snacks";"lic2"
"shop20";"shopname20";"skid68";"Sports Complex";"Repair";"lic20"
"shop21";"shopname21";"skid11";"Sports Complex";"Stationary";"lic21"
"shop22";"shopname22";"skid9";"Admin Block";"Snacks";"lic22"
"shop23";"shopname23";"skid8";"HostelArea";"Stationary";"lic23"
"shop24";"shopname24";"skid2";"Faculty Quarters";"Stationary";"lic24"
"shop25";"shopname25";"skid61";"Faculty Quarters";"Repair";"lic25"
"shop26";"shopname26";"skid63";"Admin Block";"Repair";"lic26"
"shop27";"shopname27";"skid37";"Faculty Quarters";"Stationary";"lic27"
"shop28";"shopname28";"skid33";"Sports Complex";"Repair";"lic28"
"shop29";"shopname29";"skid65";"Faculty Quarters";"Repair";"lic29"
"shop3";"shopname3";"skid84";"Sports Complex";"Repair";"lic3"
"shop30";"shopname30";"skid69";"Admin Block";"Repair";"lic30"
"shop31";"shopname31";"skid70";"Sports Complex";"Groceries";"lic31"
