"Extension_Id";"License_Id";"Extended_Date";"Issue_Date"
"001";"002";"2023-10-20";"2023-09-20"
"002";"003";"2023-10-20";"2023-09-20"
"003";"004";"2023-10-20";"2023-09-20"
"004";"006";"2023-10-20";"2023-09-20"
"005";"007";"2023-10-20";"2023-09-20"
"006";"003";"2023-10-30";"2023-09-20"
"007";"004";"2023-09-30";"2023-09-20"
"008";"001";"2024-10-09";"2022-11-09"
"010";"001";"2024-10-09";"2022-10-09"
"ext1";"lic4";"0000-00-00";"0000-00-00"
"ext10";"lic130";"0000-00-00";"0000-00-00"
"ext2";"lic5";"0000-00-00";"0000-00-00"
"ext3";"lic14";"0000-00-00";"0000-00-00"
"ext4";"lic90";"0000-00-00";"0000-00-00"
"ext5";"lic65";"0000-00-00";"0000-00-00"
"ext6";"lic43";"0000-00-00";"0000-00-00"
"ext7";"lic34";"0000-00-00";"0000-00-00"
"ext8";"lic69";"0000-00-00";"0000-00-00"
"ext9";"lic103";"0000-00-00";"0000-00-00"
