"License_Id";"Start_Date";"Expiry_Date"
"001";"2022-09-20";"2024-10-09"
"002";"2022-09-20";"2022-11-20"
"003";"2022-09-20";"2023-10-30"
"004";"2022-09-20";"2023-09-30"
"005";"2022-09-20";"2023-09-20"
"006";"2022-09-20";"2023-10-20"
"007";"2022-09-20";"2023-10-20"
"lic1";"0000-00-00";"0000-00-00"
"lic10";"0000-00-00";"0000-00-00"
"lic100";"0000-00-00";"0000-00-00"
"lic101";"0000-00-00";"0000-00-00"
"lic102";"0000-00-00";"0000-00-00"
"lic103";"0000-00-00";"0000-00-00"
"lic104";"0000-00-00";"0000-00-00"
"lic105";"0000-00-00";"0000-00-00"
"lic106";"0000-00-00";"0000-00-00"
"lic107";"0000-00-00";"0000-00-00"
"lic108";"0000-00-00";"0000-00-00"
"lic109";"0000-00-00";"0000-00-00"
"lic11";"0000-00-00";"0000-00-00"
"lic110";"0000-00-00";"0000-00-00"
"lic111";"0000-00-00";"0000-00-00"
"lic112";"0000-00-00";"0000-00-00"
"lic113";"0000-00-00";"0000-00-00"
"lic114";"0000-00-00";"0000-00-00"
"lic115";"0000-00-00";"0000-00-00"
"lic116";"0000-00-00";"0000-00-00"
"lic117";"0000-00-00";"0000-00-00"
"lic118";"0000-00-00";"0000-00-00"
"lic119";"0000-00-00";"0000-00-00"
"lic12";"0000-00-00";"0000-00-00"
"lic120";"0000-00-00";"0000-00-00"
"lic121";"0000-00-00";"0000-00-00"
"lic122";"0000-00-00";"0000-00-00"
"lic123";"0000-00-00";"0000-00-00"
"lic124";"0000-00-00";"0000-00-00"
"lic125";"0000-00-00";"0000-00-00"
"lic126";"0000-00-00";"0000-00-00"
"lic127";"0000-00-00";"0000-00-00"
"lic128";"0000-00-00";"0000-00-00"
"lic129";"0000-00-00";"0000-00-00"
"lic13";"0000-00-00";"0000-00-00"
"lic130";"0000-00-00";"0000-00-00"
"lic131";"0000-00-00";"0000-00-00"
"lic132";"0000-00-00";"0000-00-00"
"lic133";"0000-00-00";"0000-00-00"
"lic134";"0000-00-00";"0000-00-00"
"lic135";"0000-00-00";"0000-00-00"
