"Payment_Id";"Shop_Id";"Month";"Yr";"Category";"Val"
"001";"001";"Jan";"2020";"Rent";"2000"
"002";"003";"Jan";"2020";"Rent";"2000"
"003";"001";"Jan";"2020";"Rent";"3000"
"004";"002";"Mar";"2020";"Rent";"4000"
"005";"003";"May";"2020";"Rent";"5000"
"p1";"shop12";"Dec";"2022";"Rent";"1363"
"p10";"shop26";"Dec";"2021";"Rent";"1477"
"p11";"shop78";"May";"2022";"Electricity";"1302"
"p12";"shop115";"Oct";"2021";"Rent";"1481"
"p13";"shop149";"Apr";"2022";"Electricity";"1358"
"p14";"shop45";"Jul";"2023";"Rent";"1426"
"p15";"shop44";"Nov";"2023";"Rent";"1442"
"p2";"shop13";"Feb";"2022";"Electricity";"1393"
"p3";"shop1";"Jan";"2023";"Electricity";"1429"
"p4";"shop25";"Mar";"2023";"Rent";"1466"
"p5";"shop78";"Jan";"2022";"Electricity";"1363"
"p6";"shop130";"Jul";"2023";"Rent";"1329"
"p7";"shop64";"Jun";"2023";"Rent";"1363"
"p8";"shop99";"Aug";"2022";"Electricity";"1329"
"p9";"shop69";"Nov";"2023";"Rent";"1333"
