"Shop_Id";"Overall_Score"
"001";"0"
"002";"0"
"003";"4"
"004";"6.5"
"shop1";"14.5"
"shop10";"9"
"shop100";"9"
"shop101";"22.5"
"shop102";"4.5"
"shop103";"5.5"
"shop104";"6.5"
"shop106";"7.5"
"shop107";"3"
"shop108";"10.5"
"shop109";"8.5"
"shop11";"16"
"shop112";"8"
"shop113";"22.5"
"shop114";"5"
"shop115";"9"
"shop116";"10"
"shop117";"8"
"shop118";"11"
"shop119";"4.5"
"shop12";"3.5"
"shop120";"4"
"shop121";"11.5"
"shop122";"18"
"shop123";"14.5"
"shop124";"2.5"
"shop125";"6.5"
"shop126";"13.5"
"shop127";"9.5"
"shop128";"4.5"
"shop129";"7.5"
"shop13";"12"
"shop130";"3"
"shop131";"3"
"shop132";"10.5"
"shop133";"13"
"shop134";"12"
"shop136";"12"
"shop137";"14"
"shop139";"14"
"shop14";"15"
"shop140";"12.5"
"shop141";"16"
"shop142";"2.5"
"shop143";"17"
"shop144";"6.5"
"shop145";"9"
"shop147";"5.5"
"shop148";"8"
"shop149";"16.5"
"shop15";"15.5"
"shop150";"10.5"
"shop16";"7.5"
"shop17";"3"
"shop18";"6.5"
"shop19";"7.5"
"shop2";"5"
"shop20";"3.5"
"shop21";"3.5"
"shop22";"4.5"
"shop23";"9"
"shop24";"15.5"
"shop25";"3.5"
"shop26";"8"
"shop27";"13"
"shop28";"3.5"
"shop29";"9.5"
"shop3";"15.5"
"shop30";"9"
"shop31";"20"
"shop32";"7"
"shop33";"7.5"
"shop34";"2.5"
"shop35";"10.5"
"shop36";"9"
"shop37";"8.5"
"shop38";"3.5"
"shop39";"7.5"
"shop4";"12.5"
"shop40";"14.5"
"shop41";"5"
"shop42";"15.5"
"shop43";"10.5"
"shop44";"14.5"
"shop45";"7.5"
"shop46";"5.5"
"shop47";"10.5"
"shop48";"20"
"shop49";"9.5"
"shop5";"15.5"
"shop50";"8"
"shop51";"4"
"shop52";"10"
"shop53";"6"
"shop54";"12"
"shop55";"9.5"
"shop56";"6.5"
"shop57";"11"
"shop58";"4.5"
"shop59";"7.5"
"shop6";"10.5"
"shop60";"12"
"shop61";"10"
"shop62";"17.5"
"shop63";"10.5"
"shop64";"4"
"shop65";"12.5"
"shop66";"7"
"shop67";"3"
"shop68";"7"
"shop69";"6"
"shop7";"4.5"
"shop70";"13"
"shop71";"7"
"shop73";"6.5"
"shop74";"2.5"
"shop75";"3.5"
"shop76";"16.5"
"shop77";"3.5"
"shop78";"8"
"shop79";"10"
"shop8";"8.5"
"shop80";"6.5"
"shop81";"15"
"shop82";"10.5"
"shop84";"3.5"
"shop85";"9"
"shop86";"10.5"
"shop87";"3"
"shop88";"24"
"shop89";"8"
"shop90";"7.5"
"shop91";"3"
"shop92";"12"
"shop93";"6.5"
"shop94";"10.5"
"shop95";"3.5"
"shop97";"6"
"shop98";"6"
"shop99";"10.5"
